
Analysis complete for Ssp-AAtu_021-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Started analysis of Ssp-AAtu_021-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 85% complete for Ssp-CGub_027-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 90% complete for Ssp-CGub_027-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 95% complete for Ssp-CGub_027-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Analysis complete for Ssp-CGub_042-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Started analysis of Ssp-CGub_042-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 5% complete for Ssp-CGub_042-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 10% complete for Ssp-CGub_042-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 15% complete for Ssp-CGub_042-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 20% complete for Ssp-CGub_042-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 25% complete for Ssp-CGub_042-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 30% complete for Ssp-CGub_042-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 35% complete for Ssp-CGub_042-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 40% complete for Ssp-CGub_042-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 45% complete for Ssp-CGub_042-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 50% complete for Ssp-CGub_042-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 55% complete for Ssp-CGub_042-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 60% complete for Ssp-CGub_042-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 65% complete for Ssp-CGub_042-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 70% complete for Ssp-CGub_042-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 75% complete for Ssp-CGub_042-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 80% complete for Ssp-CGub_042-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 85% complete for Ssp-CGub_042-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 90% complete for Ssp-CGub_042-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 95% complete for Ssp-CGub_042-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Analysis complete for Ssp-CGub_031-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Started analysis of Ssp-CGub_031-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 5% complete for Ssp-CGub_031-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 10% complete for Ssp-CGub_031-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 15% complete for Ssp-CGub_031-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 20% complete for Ssp-CGub_031-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 25% complete for Ssp-CGub_031-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 30% complete for Ssp-CGub_031-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 35% complete for Ssp-CGub_031-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 40% complete for Ssp-CGub_031-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 45% complete for Ssp-CGub_031-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 50% complete for Ssp-CGub_031-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 55% complete for Ssp-CGub_031-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 60% complete for Ssp-CGub_031-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 65% complete for Ssp-CGub_031-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 70% complete for Ssp-CGub_031-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 75% complete for Ssp-CGub_031-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 80% complete for Ssp-CGub_031-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 85% complete for Ssp-CGub_031-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 90% complete for Ssp-CGub_031-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 95% complete for Ssp-CGub_031-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Analysis complete for Ssp-CGub_014-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Started analysis of Ssp-CGub_014-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 5% complete for Ssp-CGub_014-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 10% complete for Ssp-CGub_014-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 15% complete for Ssp-CGub_014-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 20% complete for Ssp-CGub_014-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 25% complete for Ssp-CGub_014-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 30% complete for Ssp-CGub_014-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 35% complete for Ssp-CGub_014-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 40% complete for Ssp-CGub_014-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 45% complete for Ssp-CGub_014-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 50% complete for Ssp-CGub_014-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 55% complete for Ssp-CGub_014-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 60% complete for Ssp-CGub_014-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 65% complete for Ssp-CGub_014-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 70% complete for Ssp-CGub_014-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 75% complete for Ssp-CGub_014-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 80% complete for Ssp-CGub_014-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 85% complete for Ssp-CGub_014-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 90% complete for Ssp-CGub_014-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 95% complete for Ssp-CGub_014-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Analysis complete for Ssp-CGub_031-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Started analysis of Ssp-CGub_031-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 5% complete for Ssp-CGub_031-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 10% complete for Ssp-CGub_031-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 15% complete for Ssp-CGub_031-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 20% complete for Ssp-CGub_031-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 25% complete for Ssp-CGub_031-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 30% complete for Ssp-CGub_031-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 35% complete for Ssp-CGub_031-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 40% complete for Ssp-CGub_031-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 45% complete for Ssp-CGub_031-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 50% complete for Ssp-CGub_031-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 55% complete for Ssp-CGub_031-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 60% complete for Ssp-CGub_031-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 65% complete for Ssp-CGub_031-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 70% complete for Ssp-CGub_031-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 75% complete for Ssp-CGub_031-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 80% complete for Ssp-CGub_031-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 85% complete for Ssp-CGub_031-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 90% complete for Ssp-CGub_031-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 95% complete for Ssp-CGub_031-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Analysis complete for Ssp-CGub_022-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Started analysis of Ssp-CGub_022-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 5% complete for Ssp-CGub_022-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 10% complete for Ssp-CGub_022-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 15% complete for Ssp-CGub_022-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 20% complete for Ssp-CGub_022-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 25% complete for Ssp-CGub_022-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 30% complete for Ssp-CGub_022-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 35% complete for Ssp-CGub_022-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 40% complete for Ssp-CGub_022-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 45% complete for Ssp-CGub_022-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 50% complete for Ssp-CGub_022-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 55% complete for Ssp-CGub_022-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 60% complete for Ssp-CGub_022-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 65% complete for Ssp-CGub_022-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 70% complete for Ssp-CGub_022-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 75% complete for Ssp-CGub_022-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 80% complete for Ssp-CGub_022-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 85% complete for Ssp-CGub_022-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 90% complete for Ssp-CGub_022-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 95% complete for Ssp-CGub_022-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Analysis complete for Ssp-CGub_049-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Started analysis of Ssp-CGub_049-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 5% complete for Ssp-CGub_049-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 10% complete for Ssp-CGub_049-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 15% complete for Ssp-CGub_049-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 20% complete for Ssp-CGub_049-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 25% complete for Ssp-CGub_049-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 30% complete for Ssp-CGub_049-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 35% complete for Ssp-CGub_049-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 40% complete for Ssp-CGub_049-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 45% complete for Ssp-CGub_049-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 50% complete for Ssp-CGub_049-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 55% complete for Ssp-CGub_049-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 60% complete for Ssp-CGub_049-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 65% complete for Ssp-CGub_049-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 70% complete for Ssp-CGub_049-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 75% complete for Ssp-CGub_049-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 80% complete for Ssp-CGub_049-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 85% complete for Ssp-CGub_049-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 90% complete for Ssp-CGub_049-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 95% complete for Ssp-CGub_049-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Analysis complete for Ssp-CGub_042-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Started analysis of Ssp-CGub_042-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 5% complete for Ssp-CGub_042-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 10% complete for Ssp-CGub_042-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 15% complete for Ssp-CGub_042-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 20% complete for Ssp-CGub_042-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 25% complete for Ssp-CGub_042-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 30% complete for Ssp-CGub_042-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 35% complete for Ssp-CGub_042-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 40% complete for Ssp-CGub_042-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 45% complete for Ssp-CGub_042-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 50% complete for Ssp-CGub_042-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 55% complete for Ssp-CGub_042-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 60% complete for Ssp-CGub_042-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 65% complete for Ssp-CGub_042-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 70% complete for Ssp-CGub_042-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 75% complete for Ssp-CGub_042-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 80% complete for Ssp-CGub_042-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 85% complete for Ssp-CGub_042-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 90% complete for Ssp-CGub_042-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 95% complete for Ssp-CGub_042-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Analysis complete for Ssp-CGub_022-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Started analysis of Ssp-CGub_022-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 5% complete for Ssp-CGub_022-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 10% complete for Ssp-CGub_022-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 15% complete for Ssp-CGub_022-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 20% complete for Ssp-CGub_022-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 25% complete for Ssp-CGub_022-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 30% complete for Ssp-CGub_022-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 35% complete for Ssp-CGub_022-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 40% complete for Ssp-CGub_022-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 45% complete for Ssp-CGub_022-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 50% complete for Ssp-CGub_022-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 55% complete for Ssp-CGub_022-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 60% complete for Ssp-CGub_022-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 65% complete for Ssp-CGub_022-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 70% complete for Ssp-CGub_022-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 75% complete for Ssp-CGub_022-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 80% complete for Ssp-CGub_022-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 85% complete for Ssp-CGub_022-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 90% complete for Ssp-CGub_022-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 95% complete for Ssp-CGub_022-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Analysis complete for Ssp-CGub_049-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Started analysis of Ssp-CGub_049-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 5% complete for Ssp-CGub_049-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 10% complete for Ssp-CGub_049-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 15% complete for Ssp-CGub_049-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 20% complete for Ssp-CGub_049-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 25% complete for Ssp-CGub_049-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 30% complete for Ssp-CGub_049-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 35% complete for Ssp-CGub_049-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 40% complete for Ssp-CGub_049-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 45% complete for Ssp-CGub_049-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 50% complete for Ssp-CGub_049-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 55% complete for Ssp-CGub_049-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 60% complete for Ssp-CGub_049-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 65% complete for Ssp-CGub_049-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 70% complete for Ssp-CGub_049-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 75% complete for Ssp-CGub_049-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 80% complete for Ssp-CGub_049-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 85% complete for Ssp-CGub_049-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 90% complete for Ssp-CGub_049-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 95% complete for Ssp-CGub_049-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Analysis complete for Ssp-CGub_036-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Started analysis of Ssp-CGub_036-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 5% complete for Ssp-CGub_036-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 10% complete for Ssp-CGub_036-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 15% complete for Ssp-CGub_036-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 20% complete for Ssp-CGub_036-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 25% complete for Ssp-CGub_036-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 30% complete for Ssp-CGub_036-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 35% complete for Ssp-CGub_036-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 40% complete for Ssp-CGub_036-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 45% complete for Ssp-CGub_036-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 50% complete for Ssp-CGub_036-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 55% complete for Ssp-CGub_036-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 60% complete for Ssp-CGub_036-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 65% complete for Ssp-CGub_036-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 70% complete for Ssp-CGub_036-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 75% complete for Ssp-CGub_036-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 80% complete for Ssp-CGub_036-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 85% complete for Ssp-CGub_036-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 90% complete for Ssp-CGub_036-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 95% complete for Ssp-CGub_036-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Analysis complete for Ssp-CGub_036-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Started analysis of Ssp-CGub_036-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 5% complete for Ssp-CGub_036-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 10% complete for Ssp-CGub_036-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 15% complete for Ssp-CGub_036-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 20% complete for Ssp-CGub_036-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 25% complete for Ssp-CGub_036-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 30% complete for Ssp-CGub_036-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 35% complete for Ssp-CGub_036-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 40% complete for Ssp-CGub_036-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 45% complete for Ssp-CGub_036-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 50% complete for Ssp-CGub_036-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 55% complete for Ssp-CGub_036-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 60% complete for Ssp-CGub_036-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 65% complete for Ssp-CGub_036-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 70% complete for Ssp-CGub_036-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 75% complete for Ssp-CGub_036-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 80% complete for Ssp-CGub_036-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 85% complete for Ssp-CGub_036-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 90% complete for Ssp-CGub_036-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 95% complete for Ssp-CGub_036-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Analysis complete for Ssp-CGub_054-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Started analysis of Ssp-CGub_054-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 5% complete for Ssp-CGub_054-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 10% complete for Ssp-CGub_054-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 15% complete for Ssp-CGub_054-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 20% complete for Ssp-CGub_054-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 25% complete for Ssp-CGub_054-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 30% complete for Ssp-CGub_054-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 35% complete for Ssp-CGub_054-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 40% complete for Ssp-CGub_054-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 45% complete for Ssp-CGub_054-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 50% complete for Ssp-CGub_054-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 55% complete for Ssp-CGub_054-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 60% complete for Ssp-CGub_054-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 65% complete for Ssp-CGub_054-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 70% complete for Ssp-CGub_054-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 75% complete for Ssp-CGub_054-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 80% complete for Ssp-CGub_054-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 85% complete for Ssp-CGub_054-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 90% complete for Ssp-CGub_054-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Approx 95% complete for Ssp-CGub_054-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Analysis complete for Ssp-CGub_054-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Started analysis of Ssp-CGub_054-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 5% complete for Ssp-CGub_054-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 10% complete for Ssp-CGub_054-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 15% complete for Ssp-CGub_054-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 20% complete for Ssp-CGub_054-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 25% complete for Ssp-CGub_054-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 30% complete for Ssp-CGub_054-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 35% complete for Ssp-CGub_054-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 40% complete for Ssp-CGub_054-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 45% complete for Ssp-CGub_054-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 50% complete for Ssp-CGub_054-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 55% complete for Ssp-CGub_054-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 60% complete for Ssp-CGub_054-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 65% complete for Ssp-CGub_054-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 70% complete for Ssp-CGub_054-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 75% complete for Ssp-CGub_054-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 80% complete for Ssp-CGub_054-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 85% complete for Ssp-CGub_054-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 90% complete for Ssp-CGub_054-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 95% complete for Ssp-CGub_054-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Analysis complete for Ssp-CGub_032-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Started analysis of Ssp-CGub_032-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 5% complete for Ssp-CGub_032-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 10% complete for Ssp-CGub_032-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 15% complete for Ssp-CGub_032-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 20% complete for Ssp-CGub_032-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 25% complete for Ssp-CGub_032-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 30% complete for Ssp-CGub_032-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
Approx 35% complete for Ssp-CGub_032-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
