
Analysis complete for Hmi-ABas_003-Ex1-03A.2.fq.gz
Started analysis of Hmi-ABas_003-Ex1-03A.2.fq.gz
Approx 50% complete for Hmi-ABas_002-Ex1-02A.1.fq.gz
Approx 55% complete for Hmi-ABas_002-Ex1-02A.1.fq.gz
Approx 60% complete for Hmi-ABas_002-Ex1-02A.1.fq.gz
Approx 65% complete for Hmi-ABas_002-Ex1-02A.1.fq.gz
Approx 70% complete for Hmi-ABas_002-Ex1-02A.1.fq.gz
Approx 75% complete for Hmi-ABas_002-Ex1-02A.1.fq.gz
Approx 80% complete for Hmi-ABas_002-Ex1-02A.1.fq.gz
Approx 85% complete for Hmi-ABas_002-Ex1-02A.1.fq.gz
Approx 90% complete for Hmi-ABas_002-Ex1-02A.1.fq.gz
Approx 95% complete for Hmi-ABas_002-Ex1-02A.1.fq.gz
Analysis complete for Hmi-ABas_002-Ex1-02A.2.fq.gz
Started analysis of Hmi-ABas_002-Ex1-02A.2.fq.gz
Approx 5% complete for Hmi-ABas_002-Ex1-02A.2.fq.gz
Approx 10% complete for Hmi-ABas_002-Ex1-02A.2.fq.gz
Approx 15% complete for Hmi-ABas_002-Ex1-02A.2.fq.gz
Approx 20% complete for Hmi-ABas_002-Ex1-02A.2.fq.gz
Approx 25% complete for Hmi-ABas_002-Ex1-02A.2.fq.gz
Approx 30% complete for Hmi-ABas_002-Ex1-02A.2.fq.gz
Approx 35% complete for Hmi-ABas_002-Ex1-02A.2.fq.gz
Approx 40% complete for Hmi-ABas_002-Ex1-02A.2.fq.gz
Approx 45% complete for Hmi-ABas_002-Ex1-02A.2.fq.gz
Approx 50% complete for Hmi-ABas_002-Ex1-02A.2.fq.gz
Approx 55% complete for Hmi-ABas_002-Ex1-02A.2.fq.gz
Approx 60% complete for Hmi-ABas_002-Ex1-02A.2.fq.gz
Approx 65% complete for Hmi-ABas_002-Ex1-02A.2.fq.gz
Approx 70% complete for Hmi-ABas_002-Ex1-02A.2.fq.gz
Approx 75% complete for Hmi-ABas_002-Ex1-02A.2.fq.gz
Approx 80% complete for Hmi-ABas_002-Ex1-02A.2.fq.gz
Approx 85% complete for Hmi-ABas_002-Ex1-02A.2.fq.gz
Approx 90% complete for Hmi-ABas_002-Ex1-02A.2.fq.gz
Approx 95% complete for Hmi-ABas_002-Ex1-02A.2.fq.gz
Analysis complete for Hmi-ABas_012-Ex1-12A.1.fq.gz
Started analysis of Hmi-ABas_012-Ex1-12A.1.fq.gz
Approx 5% complete for Hmi-ABas_012-Ex1-12A.1.fq.gz
Approx 10% complete for Hmi-ABas_012-Ex1-12A.1.fq.gz
Approx 15% complete for Hmi-ABas_012-Ex1-12A.1.fq.gz
Approx 20% complete for Hmi-ABas_012-Ex1-12A.1.fq.gz
Approx 25% complete for Hmi-ABas_012-Ex1-12A.1.fq.gz
Approx 30% complete for Hmi-ABas_012-Ex1-12A.1.fq.gz
Approx 35% complete for Hmi-ABas_012-Ex1-12A.1.fq.gz
Approx 40% complete for Hmi-ABas_012-Ex1-12A.1.fq.gz
Approx 45% complete for Hmi-ABas_012-Ex1-12A.1.fq.gz
Approx 50% complete for Hmi-ABas_012-Ex1-12A.1.fq.gz
Approx 55% complete for Hmi-ABas_012-Ex1-12A.1.fq.gz
Approx 60% complete for Hmi-ABas_012-Ex1-12A.1.fq.gz
Approx 65% complete for Hmi-ABas_012-Ex1-12A.1.fq.gz
Approx 70% complete for Hmi-ABas_012-Ex1-12A.1.fq.gz
Approx 75% complete for Hmi-ABas_012-Ex1-12A.1.fq.gz
Approx 80% complete for Hmi-ABas_012-Ex1-12A.1.fq.gz
Approx 85% complete for Hmi-ABas_012-Ex1-12A.1.fq.gz
Approx 90% complete for Hmi-ABas_012-Ex1-12A.1.fq.gz
Approx 95% complete for Hmi-ABas_012-Ex1-12A.1.fq.gz
Analysis complete for Hmi-ABas_012-Ex1-12A.2.fq.gz
Started analysis of Hmi-ABas_012-Ex1-12A.2.fq.gz
Approx 5% complete for Hmi-ABas_012-Ex1-12A.2.fq.gz
Approx 10% complete for Hmi-ABas_012-Ex1-12A.2.fq.gz
Approx 15% complete for Hmi-ABas_012-Ex1-12A.2.fq.gz
Approx 20% complete for Hmi-ABas_012-Ex1-12A.2.fq.gz
Approx 25% complete for Hmi-ABas_012-Ex1-12A.2.fq.gz
Approx 30% complete for Hmi-ABas_012-Ex1-12A.2.fq.gz
Approx 35% complete for Hmi-ABas_012-Ex1-12A.2.fq.gz
Approx 40% complete for Hmi-ABas_012-Ex1-12A.2.fq.gz
Approx 45% complete for Hmi-ABas_012-Ex1-12A.2.fq.gz
Approx 50% complete for Hmi-ABas_012-Ex1-12A.2.fq.gz
Approx 55% complete for Hmi-ABas_012-Ex1-12A.2.fq.gz
Approx 60% complete for Hmi-ABas_012-Ex1-12A.2.fq.gz
Approx 65% complete for Hmi-ABas_012-Ex1-12A.2.fq.gz
Approx 70% complete for Hmi-ABas_012-Ex1-12A.2.fq.gz
Approx 75% complete for Hmi-ABas_012-Ex1-12A.2.fq.gz
Approx 80% complete for Hmi-ABas_012-Ex1-12A.2.fq.gz
Approx 85% complete for Hmi-ABas_012-Ex1-12A.2.fq.gz
Approx 90% complete for Hmi-ABas_012-Ex1-12A.2.fq.gz
Approx 95% complete for Hmi-ABas_012-Ex1-12A.2.fq.gz
Analysis complete for Hmi-ABas_013-Ex1-01B.1.fq.gz
Started analysis of Hmi-ABas_013-Ex1-01B.1.fq.gz
Approx 5% complete for Hmi-ABas_013-Ex1-01B.1.fq.gz
Approx 10% complete for Hmi-ABas_013-Ex1-01B.1.fq.gz
Approx 15% complete for Hmi-ABas_013-Ex1-01B.1.fq.gz
Approx 20% complete for Hmi-ABas_013-Ex1-01B.1.fq.gz
Approx 25% complete for Hmi-ABas_013-Ex1-01B.1.fq.gz
Approx 30% complete for Hmi-ABas_013-Ex1-01B.1.fq.gz
Approx 35% complete for Hmi-ABas_013-Ex1-01B.1.fq.gz
Approx 40% complete for Hmi-ABas_013-Ex1-01B.1.fq.gz
Approx 45% complete for Hmi-ABas_013-Ex1-01B.1.fq.gz
Approx 50% complete for Hmi-ABas_013-Ex1-01B.1.fq.gz
Approx 55% complete for Hmi-ABas_013-Ex1-01B.1.fq.gz
Approx 60% complete for Hmi-ABas_013-Ex1-01B.1.fq.gz
Approx 65% complete for Hmi-ABas_013-Ex1-01B.1.fq.gz
Approx 70% complete for Hmi-ABas_013-Ex1-01B.1.fq.gz
Approx 75% complete for Hmi-ABas_013-Ex1-01B.1.fq.gz
Approx 80% complete for Hmi-ABas_013-Ex1-01B.1.fq.gz
Approx 85% complete for Hmi-ABas_013-Ex1-01B.1.fq.gz
Approx 90% complete for Hmi-ABas_013-Ex1-01B.1.fq.gz
Approx 95% complete for Hmi-ABas_013-Ex1-01B.1.fq.gz
Analysis complete for Hmi-ABas_015-Ex1-03B.2.fq.gz
Started analysis of Hmi-ABas_015-Ex1-03B.2.fq.gz
Approx 5% complete for Hmi-ABas_015-Ex1-03B.2.fq.gz
Approx 10% complete for Hmi-ABas_015-Ex1-03B.2.fq.gz
Approx 15% complete for Hmi-ABas_015-Ex1-03B.2.fq.gz
Approx 20% complete for Hmi-ABas_015-Ex1-03B.2.fq.gz
Approx 25% complete for Hmi-ABas_015-Ex1-03B.2.fq.gz
Approx 30% complete for Hmi-ABas_015-Ex1-03B.2.fq.gz
Approx 35% complete for Hmi-ABas_015-Ex1-03B.2.fq.gz
Approx 40% complete for Hmi-ABas_015-Ex1-03B.2.fq.gz
Approx 45% complete for Hmi-ABas_015-Ex1-03B.2.fq.gz
Approx 50% complete for Hmi-ABas_015-Ex1-03B.2.fq.gz
Approx 55% complete for Hmi-ABas_015-Ex1-03B.2.fq.gz
Approx 60% complete for Hmi-ABas_015-Ex1-03B.2.fq.gz
Approx 65% complete for Hmi-ABas_015-Ex1-03B.2.fq.gz
Approx 70% complete for Hmi-ABas_015-Ex1-03B.2.fq.gz
Approx 75% complete for Hmi-ABas_015-Ex1-03B.2.fq.gz
Approx 80% complete for Hmi-ABas_015-Ex1-03B.2.fq.gz
Approx 85% complete for Hmi-ABas_015-Ex1-03B.2.fq.gz
Approx 90% complete for Hmi-ABas_015-Ex1-03B.2.fq.gz
Approx 95% complete for Hmi-ABas_015-Ex1-03B.2.fq.gz
Analysis complete for Hmi-ABas_013-Ex1-01B.2.fq.gz
Started analysis of Hmi-ABas_013-Ex1-01B.2.fq.gz
Approx 5% complete for Hmi-ABas_013-Ex1-01B.2.fq.gz
Approx 10% complete for Hmi-ABas_013-Ex1-01B.2.fq.gz
Approx 15% complete for Hmi-ABas_013-Ex1-01B.2.fq.gz
Approx 20% complete for Hmi-ABas_013-Ex1-01B.2.fq.gz
Approx 25% complete for Hmi-ABas_013-Ex1-01B.2.fq.gz
Approx 30% complete for Hmi-ABas_013-Ex1-01B.2.fq.gz
Approx 35% complete for Hmi-ABas_013-Ex1-01B.2.fq.gz
Approx 40% complete for Hmi-ABas_013-Ex1-01B.2.fq.gz
Approx 45% complete for Hmi-ABas_013-Ex1-01B.2.fq.gz
Approx 50% complete for Hmi-ABas_013-Ex1-01B.2.fq.gz
Approx 55% complete for Hmi-ABas_013-Ex1-01B.2.fq.gz
Approx 60% complete for Hmi-ABas_013-Ex1-01B.2.fq.gz
Approx 65% complete for Hmi-ABas_013-Ex1-01B.2.fq.gz
Approx 70% complete for Hmi-ABas_013-Ex1-01B.2.fq.gz
Approx 75% complete for Hmi-ABas_013-Ex1-01B.2.fq.gz
Approx 80% complete for Hmi-ABas_013-Ex1-01B.2.fq.gz
Approx 85% complete for Hmi-ABas_013-Ex1-01B.2.fq.gz
Approx 90% complete for Hmi-ABas_013-Ex1-01B.2.fq.gz
Approx 95% complete for Hmi-ABas_013-Ex1-01B.2.fq.gz
Analysis complete for Hmi-ABas_015-Ex1-03B.1.fq.gz
Started analysis of Hmi-ABas_015-Ex1-03B.1.fq.gz
Approx 5% complete for Hmi-ABas_015-Ex1-03B.1.fq.gz
Approx 10% complete for Hmi-ABas_015-Ex1-03B.1.fq.gz
Approx 15% complete for Hmi-ABas_015-Ex1-03B.1.fq.gz
Approx 20% complete for Hmi-ABas_015-Ex1-03B.1.fq.gz
Approx 25% complete for Hmi-ABas_015-Ex1-03B.1.fq.gz
Approx 30% complete for Hmi-ABas_015-Ex1-03B.1.fq.gz
Approx 35% complete for Hmi-ABas_015-Ex1-03B.1.fq.gz
Approx 40% complete for Hmi-ABas_015-Ex1-03B.1.fq.gz
Approx 45% complete for Hmi-ABas_015-Ex1-03B.1.fq.gz
Approx 50% complete for Hmi-ABas_015-Ex1-03B.1.fq.gz
Approx 55% complete for Hmi-ABas_015-Ex1-03B.1.fq.gz
Approx 60% complete for Hmi-ABas_015-Ex1-03B.1.fq.gz
Approx 65% complete for Hmi-ABas_015-Ex1-03B.1.fq.gz
Approx 70% complete for Hmi-ABas_015-Ex1-03B.1.fq.gz
Approx 75% complete for Hmi-ABas_015-Ex1-03B.1.fq.gz
Approx 80% complete for Hmi-ABas_015-Ex1-03B.1.fq.gz
Approx 85% complete for Hmi-ABas_015-Ex1-03B.1.fq.gz
Approx 90% complete for Hmi-ABas_015-Ex1-03B.1.fq.gz
Approx 95% complete for Hmi-ABas_015-Ex1-03B.1.fq.gz
Analysis complete for Hmi-ABas_005-Ex1-05A.1.fq.gz
Started analysis of Hmi-ABas_005-Ex1-05A.1.fq.gz
Approx 5% complete for Hmi-ABas_005-Ex1-05A.1.fq.gz
Approx 10% complete for Hmi-ABas_005-Ex1-05A.1.fq.gz
Approx 15% complete for Hmi-ABas_005-Ex1-05A.1.fq.gz
Approx 20% complete for Hmi-ABas_005-Ex1-05A.1.fq.gz
Approx 25% complete for Hmi-ABas_005-Ex1-05A.1.fq.gz
Approx 30% complete for Hmi-ABas_005-Ex1-05A.1.fq.gz
Approx 35% complete for Hmi-ABas_005-Ex1-05A.1.fq.gz
Approx 40% complete for Hmi-ABas_005-Ex1-05A.1.fq.gz
Approx 45% complete for Hmi-ABas_005-Ex1-05A.1.fq.gz
Approx 50% complete for Hmi-ABas_005-Ex1-05A.1.fq.gz
Approx 55% complete for Hmi-ABas_005-Ex1-05A.1.fq.gz
Approx 60% complete for Hmi-ABas_005-Ex1-05A.1.fq.gz
Approx 65% complete for Hmi-ABas_005-Ex1-05A.1.fq.gz
Approx 70% complete for Hmi-ABas_005-Ex1-05A.1.fq.gz
Approx 75% complete for Hmi-ABas_005-Ex1-05A.1.fq.gz
Approx 80% complete for Hmi-ABas_005-Ex1-05A.1.fq.gz
Approx 85% complete for Hmi-ABas_005-Ex1-05A.1.fq.gz
Approx 90% complete for Hmi-ABas_005-Ex1-05A.1.fq.gz
Approx 95% complete for Hmi-ABas_005-Ex1-05A.1.fq.gz
Analysis complete for Hmi-ABas_005-Ex1-05A.2.fq.gz
Started analysis of Hmi-ABas_005-Ex1-05A.2.fq.gz
Approx 5% complete for Hmi-ABas_005-Ex1-05A.2.fq.gz
Approx 10% complete for Hmi-ABas_005-Ex1-05A.2.fq.gz
Approx 15% complete for Hmi-ABas_005-Ex1-05A.2.fq.gz
Approx 20% complete for Hmi-ABas_005-Ex1-05A.2.fq.gz
Approx 25% complete for Hmi-ABas_005-Ex1-05A.2.fq.gz
Approx 30% complete for Hmi-ABas_005-Ex1-05A.2.fq.gz
Approx 35% complete for Hmi-ABas_005-Ex1-05A.2.fq.gz
Approx 40% complete for Hmi-ABas_005-Ex1-05A.2.fq.gz
Approx 45% complete for Hmi-ABas_005-Ex1-05A.2.fq.gz
Approx 50% complete for Hmi-ABas_005-Ex1-05A.2.fq.gz
Approx 55% complete for Hmi-ABas_005-Ex1-05A.2.fq.gz
Approx 60% complete for Hmi-ABas_005-Ex1-05A.2.fq.gz
Approx 65% complete for Hmi-ABas_005-Ex1-05A.2.fq.gz
Approx 70% complete for Hmi-ABas_005-Ex1-05A.2.fq.gz
Approx 75% complete for Hmi-ABas_005-Ex1-05A.2.fq.gz
Approx 80% complete for Hmi-ABas_005-Ex1-05A.2.fq.gz
Approx 85% complete for Hmi-ABas_005-Ex1-05A.2.fq.gz
Approx 90% complete for Hmi-ABas_005-Ex1-05A.2.fq.gz
Approx 95% complete for Hmi-ABas_005-Ex1-05A.2.fq.gz
Analysis complete for Hmi-ABas_022-Ex1-10B.1.fq.gz
Started analysis of Hmi-ABas_022-Ex1-10B.1.fq.gz
Approx 5% complete for Hmi-ABas_022-Ex1-10B.1.fq.gz
Approx 10% complete for Hmi-ABas_022-Ex1-10B.1.fq.gz
Approx 15% complete for Hmi-ABas_022-Ex1-10B.1.fq.gz
Approx 20% complete for Hmi-ABas_022-Ex1-10B.1.fq.gz
Approx 25% complete for Hmi-ABas_022-Ex1-10B.1.fq.gz
Approx 30% complete for Hmi-ABas_022-Ex1-10B.1.fq.gz
Approx 35% complete for Hmi-ABas_022-Ex1-10B.1.fq.gz
Approx 40% complete for Hmi-ABas_022-Ex1-10B.1.fq.gz
Approx 45% complete for Hmi-ABas_022-Ex1-10B.1.fq.gz
Approx 50% complete for Hmi-ABas_022-Ex1-10B.1.fq.gz
Approx 55% complete for Hmi-ABas_022-Ex1-10B.1.fq.gz
Approx 60% complete for Hmi-ABas_022-Ex1-10B.1.fq.gz
Approx 65% complete for Hmi-ABas_022-Ex1-10B.1.fq.gz
Approx 70% complete for Hmi-ABas_022-Ex1-10B.1.fq.gz
Approx 75% complete for Hmi-ABas_022-Ex1-10B.1.fq.gz
Approx 80% complete for Hmi-ABas_022-Ex1-10B.1.fq.gz
Approx 85% complete for Hmi-ABas_022-Ex1-10B.1.fq.gz
Approx 90% complete for Hmi-ABas_022-Ex1-10B.1.fq.gz
Approx 95% complete for Hmi-ABas_022-Ex1-10B.1.fq.gz
Analysis complete for Hmi-ABas_022-Ex1-10B.2.fq.gz
Started analysis of Hmi-ABas_022-Ex1-10B.2.fq.gz
Approx 5% complete for Hmi-ABas_022-Ex1-10B.2.fq.gz
Approx 10% complete for Hmi-ABas_022-Ex1-10B.2.fq.gz
Approx 15% complete for Hmi-ABas_022-Ex1-10B.2.fq.gz
Approx 20% complete for Hmi-ABas_022-Ex1-10B.2.fq.gz
Approx 25% complete for Hmi-ABas_022-Ex1-10B.2.fq.gz
Approx 30% complete for Hmi-ABas_022-Ex1-10B.2.fq.gz
Approx 35% complete for Hmi-ABas_022-Ex1-10B.2.fq.gz
Approx 40% complete for Hmi-ABas_022-Ex1-10B.2.fq.gz
Approx 45% complete for Hmi-ABas_022-Ex1-10B.2.fq.gz
Approx 50% complete for Hmi-ABas_022-Ex1-10B.2.fq.gz
Approx 55% complete for Hmi-ABas_022-Ex1-10B.2.fq.gz
Approx 60% complete for Hmi-ABas_022-Ex1-10B.2.fq.gz
Approx 65% complete for Hmi-ABas_022-Ex1-10B.2.fq.gz
Approx 70% complete for Hmi-ABas_022-Ex1-10B.2.fq.gz
Approx 75% complete for Hmi-ABas_022-Ex1-10B.2.fq.gz
Approx 80% complete for Hmi-ABas_022-Ex1-10B.2.fq.gz
Approx 85% complete for Hmi-ABas_022-Ex1-10B.2.fq.gz
Approx 90% complete for Hmi-ABas_022-Ex1-10B.2.fq.gz
Approx 95% complete for Hmi-ABas_022-Ex1-10B.2.fq.gz
Analysis complete for Hmi-ABas_014-Ex1-02B.1.fq.gz
Started analysis of Hmi-ABas_014-Ex1-02B.1.fq.gz
Approx 5% complete for Hmi-ABas_014-Ex1-02B.1.fq.gz
Approx 10% complete for Hmi-ABas_014-Ex1-02B.1.fq.gz
Approx 15% complete for Hmi-ABas_014-Ex1-02B.1.fq.gz
Approx 20% complete for Hmi-ABas_014-Ex1-02B.1.fq.gz
Approx 25% complete for Hmi-ABas_014-Ex1-02B.1.fq.gz
Approx 30% complete for Hmi-ABas_014-Ex1-02B.1.fq.gz
Approx 35% complete for Hmi-ABas_014-Ex1-02B.1.fq.gz
Approx 40% complete for Hmi-ABas_014-Ex1-02B.1.fq.gz
Approx 45% complete for Hmi-ABas_014-Ex1-02B.1.fq.gz
Approx 50% complete for Hmi-ABas_014-Ex1-02B.1.fq.gz
Approx 55% complete for Hmi-ABas_014-Ex1-02B.1.fq.gz
Approx 60% complete for Hmi-ABas_014-Ex1-02B.1.fq.gz
Approx 65% complete for Hmi-ABas_014-Ex1-02B.1.fq.gz
Approx 70% complete for Hmi-ABas_014-Ex1-02B.1.fq.gz
Approx 75% complete for Hmi-ABas_014-Ex1-02B.1.fq.gz
Approx 80% complete for Hmi-ABas_014-Ex1-02B.1.fq.gz
Approx 85% complete for Hmi-ABas_014-Ex1-02B.1.fq.gz
Approx 90% complete for Hmi-ABas_014-Ex1-02B.1.fq.gz
Approx 95% complete for Hmi-ABas_014-Ex1-02B.1.fq.gz
Analysis complete for Hmi-ABas_014-Ex1-02B.2.fq.gz
Started analysis of Hmi-ABas_014-Ex1-02B.2.fq.gz
Approx 5% complete for Hmi-ABas_014-Ex1-02B.2.fq.gz
Approx 10% complete for Hmi-ABas_014-Ex1-02B.2.fq.gz
Approx 15% complete for Hmi-ABas_014-Ex1-02B.2.fq.gz
Approx 20% complete for Hmi-ABas_014-Ex1-02B.2.fq.gz
Approx 25% complete for Hmi-ABas_014-Ex1-02B.2.fq.gz
Approx 30% complete for Hmi-ABas_014-Ex1-02B.2.fq.gz
Approx 35% complete for Hmi-ABas_014-Ex1-02B.2.fq.gz
Approx 40% complete for Hmi-ABas_014-Ex1-02B.2.fq.gz
Approx 45% complete for Hmi-ABas_014-Ex1-02B.2.fq.gz
Approx 50% complete for Hmi-ABas_014-Ex1-02B.2.fq.gz
Approx 55% complete for Hmi-ABas_014-Ex1-02B.2.fq.gz
Approx 60% complete for Hmi-ABas_014-Ex1-02B.2.fq.gz
Approx 65% complete for Hmi-ABas_014-Ex1-02B.2.fq.gz
Approx 70% complete for Hmi-ABas_014-Ex1-02B.2.fq.gz
Approx 75% complete for Hmi-ABas_014-Ex1-02B.2.fq.gz
Approx 80% complete for Hmi-ABas_014-Ex1-02B.2.fq.gz
Approx 85% complete for Hmi-ABas_014-Ex1-02B.2.fq.gz
Approx 90% complete for Hmi-ABas_014-Ex1-02B.2.fq.gz
Approx 95% complete for Hmi-ABas_014-Ex1-02B.2.fq.gz
Analysis complete for Hmi-ABas_021-Ex1-09B.2.fq.gz
Started analysis of Hmi-ABas_021-Ex1-09B.2.fq.gz
Approx 5% complete for Hmi-ABas_021-Ex1-09B.2.fq.gz
Approx 10% complete for Hmi-ABas_021-Ex1-09B.2.fq.gz
Approx 15% complete for Hmi-ABas_021-Ex1-09B.2.fq.gz
Approx 20% complete for Hmi-ABas_021-Ex1-09B.2.fq.gz
Approx 25% complete for Hmi-ABas_021-Ex1-09B.2.fq.gz
Approx 30% complete for Hmi-ABas_021-Ex1-09B.2.fq.gz
Approx 35% complete for Hmi-ABas_021-Ex1-09B.2.fq.gz
Approx 40% complete for Hmi-ABas_021-Ex1-09B.2.fq.gz
Approx 45% complete for Hmi-ABas_021-Ex1-09B.2.fq.gz
Approx 50% complete for Hmi-ABas_021-Ex1-09B.2.fq.gz
Approx 55% complete for Hmi-ABas_021-Ex1-09B.2.fq.gz
Approx 60% complete for Hmi-ABas_021-Ex1-09B.2.fq.gz
Approx 65% complete for Hmi-ABas_021-Ex1-09B.2.fq.gz
Approx 70% complete for Hmi-ABas_021-Ex1-09B.2.fq.gz
Approx 75% complete for Hmi-ABas_021-Ex1-09B.2.fq.gz
Approx 80% complete for Hmi-ABas_021-Ex1-09B.2.fq.gz
Approx 85% complete for Hmi-ABas_021-Ex1-09B.2.fq.gz
Approx 90% complete for Hmi-ABas_021-Ex1-09B.2.fq.gz
Approx 95% complete for Hmi-ABas_021-Ex1-09B.2.fq.gz
Analysis complete for Hmi-ABas_021-Ex1-09B.1.fq.gz
Started analysis of Hmi-ABas_021-Ex1-09B.1.fq.gz
Approx 5% complete for Hmi-ABas_021-Ex1-09B.1.fq.gz
Approx 10% complete for Hmi-ABas_021-Ex1-09B.1.fq.gz
Approx 15% complete for Hmi-ABas_021-Ex1-09B.1.fq.gz
Approx 20% complete for Hmi-ABas_021-Ex1-09B.1.fq.gz
Approx 25% complete for Hmi-ABas_021-Ex1-09B.1.fq.gz
Approx 30% complete for Hmi-ABas_021-Ex1-09B.1.fq.gz
Approx 35% complete for Hmi-ABas_021-Ex1-09B.1.fq.gz
Approx 40% complete for Hmi-ABas_021-Ex1-09B.1.fq.gz
Approx 45% complete for Hmi-ABas_021-Ex1-09B.1.fq.gz
Approx 50% complete for Hmi-ABas_021-Ex1-09B.1.fq.gz
Approx 55% complete for Hmi-ABas_021-Ex1-09B.1.fq.gz
Approx 60% complete for Hmi-ABas_021-Ex1-09B.1.fq.gz
Approx 65% complete for Hmi-ABas_021-Ex1-09B.1.fq.gz
Approx 70% complete for Hmi-ABas_021-Ex1-09B.1.fq.gz
Approx 75% complete for Hmi-ABas_021-Ex1-09B.1.fq.gz
Approx 80% complete for Hmi-ABas_021-Ex1-09B.1.fq.gz
Approx 85% complete for Hmi-ABas_021-Ex1-09B.1.fq.gz
Approx 90% complete for Hmi-ABas_021-Ex1-09B.1.fq.gz
Approx 95% complete for Hmi-ABas_021-Ex1-09B.1.fq.gz
Analysis complete for Hmi-ABas_018-Ex1-06B.2.fq.gz
Started analysis of Hmi-ABas_018-Ex1-06B.2.fq.gz
Approx 5% complete for Hmi-ABas_018-Ex1-06B.2.fq.gz
Approx 10% complete for Hmi-ABas_018-Ex1-06B.2.fq.gz
Approx 15% complete for Hmi-ABas_018-Ex1-06B.2.fq.gz
Approx 20% complete for Hmi-ABas_018-Ex1-06B.2.fq.gz
Approx 25% complete for Hmi-ABas_018-Ex1-06B.2.fq.gz
Approx 30% complete for Hmi-ABas_018-Ex1-06B.2.fq.gz
Approx 35% complete for Hmi-ABas_018-Ex1-06B.2.fq.gz
Approx 40% complete for Hmi-ABas_018-Ex1-06B.2.fq.gz
Approx 45% complete for Hmi-ABas_018-Ex1-06B.2.fq.gz
Approx 50% complete for Hmi-ABas_018-Ex1-06B.2.fq.gz
Approx 55% complete for Hmi-ABas_018-Ex1-06B.2.fq.gz
Approx 60% complete for Hmi-ABas_018-Ex1-06B.2.fq.gz
Approx 65% complete for Hmi-ABas_018-Ex1-06B.2.fq.gz
Approx 70% complete for Hmi-ABas_018-Ex1-06B.2.fq.gz
Approx 75% complete for Hmi-ABas_018-Ex1-06B.2.fq.gz
Approx 80% complete for Hmi-ABas_018-Ex1-06B.2.fq.gz
Approx 85% complete for Hmi-ABas_018-Ex1-06B.2.fq.gz
Approx 90% complete for Hmi-ABas_018-Ex1-06B.2.fq.gz
Approx 95% complete for Hmi-ABas_018-Ex1-06B.2.fq.gz
Analysis complete for Hmi-ABas_009-Ex1-09A.2.fq.gz
Started analysis of Hmi-ABas_009-Ex1-09A.2.fq.gz
Approx 5% complete for Hmi-ABas_009-Ex1-09A.2.fq.gz
Approx 10% complete for Hmi-ABas_009-Ex1-09A.2.fq.gz
Approx 15% complete for Hmi-ABas_009-Ex1-09A.2.fq.gz
Approx 20% complete for Hmi-ABas_009-Ex1-09A.2.fq.gz
Approx 25% complete for Hmi-ABas_009-Ex1-09A.2.fq.gz
Approx 30% complete for Hmi-ABas_009-Ex1-09A.2.fq.gz
Approx 35% complete for Hmi-ABas_009-Ex1-09A.2.fq.gz
Approx 40% complete for Hmi-ABas_009-Ex1-09A.2.fq.gz
Approx 45% complete for Hmi-ABas_009-Ex1-09A.2.fq.gz
Approx 50% complete for Hmi-ABas_009-Ex1-09A.2.fq.gz
Approx 55% complete for Hmi-ABas_009-Ex1-09A.2.fq.gz
Approx 60% complete for Hmi-ABas_009-Ex1-09A.2.fq.gz
Approx 65% complete for Hmi-ABas_009-Ex1-09A.2.fq.gz
Approx 70% complete for Hmi-ABas_009-Ex1-09A.2.fq.gz
Approx 75% complete for Hmi-ABas_009-Ex1-09A.2.fq.gz
Approx 80% complete for Hmi-ABas_009-Ex1-09A.2.fq.gz
Approx 85% complete for Hmi-ABas_009-Ex1-09A.2.fq.gz
Approx 90% complete for Hmi-ABas_009-Ex1-09A.2.fq.gz
Approx 95% complete for Hmi-ABas_009-Ex1-09A.2.fq.gz
Analysis complete for Hmi-ABas_009-Ex1-09A.1.fq.gz
Started analysis of Hmi-ABas_009-Ex1-09A.1.fq.gz
Approx 5% complete for Hmi-ABas_009-Ex1-09A.1.fq.gz
Approx 10% complete for Hmi-ABas_009-Ex1-09A.1.fq.gz
Approx 15% complete for Hmi-ABas_009-Ex1-09A.1.fq.gz
Approx 20% complete for Hmi-ABas_009-Ex1-09A.1.fq.gz
Approx 25% complete for Hmi-ABas_009-Ex1-09A.1.fq.gz
Approx 30% complete for Hmi-ABas_009-Ex1-09A.1.fq.gz
Approx 35% complete for Hmi-ABas_009-Ex1-09A.1.fq.gz
Approx 40% complete for Hmi-ABas_009-Ex1-09A.1.fq.gz
Approx 45% complete for Hmi-ABas_009-Ex1-09A.1.fq.gz
Approx 50% complete for Hmi-ABas_009-Ex1-09A.1.fq.gz
Approx 55% complete for Hmi-ABas_009-Ex1-09A.1.fq.gz
Approx 60% complete for Hmi-ABas_009-Ex1-09A.1.fq.gz
Approx 65% complete for Hmi-ABas_009-Ex1-09A.1.fq.gz
Approx 70% complete for Hmi-ABas_009-Ex1-09A.1.fq.gz
Approx 75% complete for Hmi-ABas_009-Ex1-09A.1.fq.gz
Approx 80% complete for Hmi-ABas_009-Ex1-09A.1.fq.gz
Approx 85% complete for Hmi-ABas_009-Ex1-09A.1.fq.gz
Approx 90% complete for Hmi-ABas_009-Ex1-09A.1.fq.gz
Approx 95% complete for Hmi-ABas_009-Ex1-09A.1.fq.gz
Analysis complete for Hmi-ABas_018-Ex1-06B.1.fq.gz
